InternalName;IDnumber;Name;Description;TotalPP;BasePower;Priority;DamageCategory;FunctionCode;Flags;Accuracy;Type;AdditionalEffectChance;Target
NIGHTMARE;188;Nightmare;A sleeping target sees a nightmare that inflicts some damage every turn.;15;0;0;Status;10F;be;100;GHOST;0;00
SPITE;189;Spite;The user unleashes its grudge on the move last used by the target by cutting 4 PP from it.;10;0;0;Status;10E;bce;100;GHOST;0;00
FRENZYPLANT;190;Frenzy Plant;The user slams the target with an enormous tree. The user can't move on the next turn.;5;150;0;Special;0C2;bef;90;GRASS;0;00
LEAFSTORM;191;Leaf Storm;A storm of sharp is whipped up. The attack's recoil harshly reduces the user's Sp. Atk stat.;5;140;0;Special;03F;bef;90;GRASS;0;00
PETALDANCE;192;Petal Dance;The user attacks by scattering petals for two to three turns. The user then becomes confused.;10;120;0;Special;0D2;abef;100;GRASS;0;02
POWERWHIP;193;Power Whip;The user violently whirls its vines or tentacles to harshly lash the target.;10;120;0;Physical;000;abef;85;GRASS;0;00
SEEDFLARE;194;Seed Flare;The user generates a shock wave from within its body. It may harshly lower the target's Sp. Def.;5;120;0;Special;04F;bef;85;GRASS;40;00
SOLARBEAM;195;Solar Beam;A two-turn attack. The user gathers light, then blasts a bundled beam on the second turn.;10;120;0;Special;0C4;bef;100;GRASS;0;00
WOODHAMMER;196;Wood Hammer;The user slams its rugged body into the target to attack. The user also sustains serious damage.;15;120;0;Physical;0FB;abef;100;GRASS;0;00
LEAFBLADE;197;Leaf Blade;The user handles a sharp leaf like a sword and attacks by slashing. It has a high critical-hit ratio.;15;90;0;Physical;000;abefh;100;GRASS;0;00
ENERGYBALL;198;Energy Ball;The user draws power from nature and fires it at the target. It may also lower the target's Sp. Def.;10;80;0;Special;046;befn;100;GRASS;10;00
SEEDBOMB;199;Seed Bomb;The user slams a barrage of hard-shelled seeds down on the target from above.;15;80;0;Physical;000;befn;100;GRASS;0;00
GIGADRAIN;200;Giga Drain;A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.;10;75;0;Special;0DD;bef;100;GRASS;0;00
HORNLEECH;201;Horn Leech;The user drains the foe's energy with its horns. The user's HP is restored by half the damage inflicted.;10;75;0;Physical;0DD;abef;100;GRASS;0;00
LEAFTORNADO;202;Leaf Tornado;The user attacks its foe by encircling it in sharp leaves. This attack may also lower the foe's accuracy.;10;65;0;Special;047;bef;90;GRASS;30;00
MAGICALLEAF;203;Magical Leaf;The user scatters curious leaves that chase the target. This attack will not miss.;20;60;0;Special;0A5;bef;0;GRASS;0;00
NEEDLEARM;204;Needle Arm;The user attacks by wildly swinging its thorny arms. It may also make the target flinch.;15;60;0;Physical;00F;abe;100;GRASS;30;00
RAZORLEAF;205;Razor Leaf;Sharp-edged leaves are launched to slash at the opposing team. Critical hits land more easily.;25;55;0;Physical;000;befh;95;GRASS;0;04
GRASSPLEDGE;206;Grass Pledge;A column of grass hits the foes. When used with its water equivalent, it creates a vast swamp.;10;50;0;Special;106;bef;100;GRASS;0;00
MEGADRAIN;207;Mega Drain;A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.;15;40;0;Special;0DD;bef;100;GRASS;0;00
VINEWHIP;208;Vine Whip;The target is struck with slender, whiplike vines to inflict damage.;15;35;0;Physical;000;abef;100;GRASS;0;00
BULLETSEED;209;Bullet Seed;The user forcefully shoots seeds at the target. Two to five seeds are shot in rapid succession.;30;25;0;Physical;0C0;befn;100;GRASS;0;00
ABSORB;210;Absorb;A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.;25;20;0;Special;0DD;bef;100;GRASS;0;00
GRASSKNOT;211;Grass Knot;The user snares the target with grass and trips it. The heavier the target, the greater the damage.;20;1;0;Special;09A;abef;100;GRASS;0;00
AROMATHERAPY;212;Aromatherapy;The user releases a soothing scent that heals all status problems affecting the user's party.;5;0;0;Status;019;d;0;GRASS;0;40
COTTONGUARD;213;Cotton Guard;The user protects itself by wrapping its body in soft cotton, drastically raising its Defense stat.;10;0;0;Status;038;d;0;GRASS;0;10
COTTONSPORE;214;Cotton Spore;The user releases cotton-like spores that cling to the foe, harshly reducing its Speed stat.;40;0;0;Status;04D;bcel;100;GRASS;0;00
GRASSWHISTLE;215;Grass Whistle;The user plays a pleasant melody that lulls the target into a deep sleep.;15;0;0;Status;003;bcek;55;GRASS;0;00
INGRAIN;216;Ingrain;The user lays roots that restore its HP on every turn. Because it is rooted, it can't switch out.;20;0;0;Status;0DB;d;0;GRASS;0;10
LEECHSEED;217;Leech Seed;A seed is planted on the target. It steals some HP from the target every turn.;10;0;0;Status;0DC;bce;90;GRASS;0;00
SLEEPPOWDER;218;Sleep Powder;The user scatters a big cloud of sleep-inducing dust around the target.;15;0;0;Status;003;bcel;75;GRASS;0;00
SPORE;219;Spore;The user scatters bursts of spores that induce sleep.;15;0;0;Status;003;bcel;100;GRASS;0;00
STUNSPORE;220;Stun Spore;The user scatters a cloud of paralyzing powder. It may leave the target with paralysis.;30;0;0;Status;007;bcel;75;GRASS;0;00
SYNTHESIS;221;Synthesis;The user restores its own HP. The amount of HP regained varies with the weather.;5;0;0;Status;0D8;d;0;GRASS;0;10
WORRYSEED;222;Worry Seed;A seed that causes worry is planted on the foe. It prevents sleep by making its Ability Insomnia.;10;0;0;Status;064;bce;100;GRASS;0;00
EARTHQUAKE;223;Earthquake;The user sets off an earthquake that strikes every Pokemon around it.;10;100;0;Physical;076;bef;100;GROUND;0;08
EARTHPOWER;224;Earth Power;The user makes the ground under the foe erupt with power. It may also lower the target's Sp. Def.;10;90;0;Special;046;bef;100;GROUND;10;00
DIG;225;Dig;The user burrows, then attacks on the second turn. It can also be used to exit dungeons.;10;80;0;Physical;0CA;abef;100;GROUND;0;00
DRILLRUN;226;Drill Run;The user crashes into its target while rotating its body like a drill. Critical hits land more easily.;10;80;0;Physical;000;abefh;95;GROUND;0;00
BONECLUB;227;Bone Club;The user clubs the target with a bone. It may also make the target flinch.;20;65;0;Physical;00F;be;85;GROUND;10;00
MUDBOMB;228;Mud Bomb;The user launches a hard-packed mud ball to attack. It may also lower the target's accuracy.;10;65;0;Special;047;befn;85;GROUND;30;00
BULLDOZE;229;Bulldoze;The user strikes everything around it by stomping on the ground. It reduces hit Pokemon's Speed.;20;60;0;Physical;044;bef;100;GROUND;100;08
MUDSHOT;230;Mud Shot;The user attacks by hurling a blob of mud at the target. It also reduces the target's Speed.;15;55;0;Special;044;bef;95;GROUND;100;00
BONEMERANG;231;Bonemerang;The user throws the bone it holds. The bone loops to hit the target twice, coming and going.;10;50;0;Physical;0BD;bef;90;GROUND;0;00
SANDTOMB;232;Sand Tomb;The user traps the target inside a harshly raging sandstorm for four to five turns.;15;35;0;Physical;0CF;bef;85;GROUND;0;00
BONERUSH;233;Bone Rush;The user strikes the target with a hard bone two to five times in a row.;10;25;0;Physical;0C0;bef;90;GROUND;0;00
MUDSLAP;234;Mud-Slap;The user hurls mud in the target's face to inflict damage and lower its accuracy.;10;20;0;Special;047;bef;100;GROUND;100;00
FISSURE;235;Fissure;The user opens up a fissure in the ground and drops the foe in. The target instantly faints if it hits.;5;1;0;Physical;070;be;30;GROUND;0;00
MAGNITUDE;236;Magnitude;The user looses a ground-shaking quake affecting everyone around the user. Its power varies.;30;1;0;Physical;095;bef;100;GROUND;0;08
MUDSPORT;237;Mud Sport;The user covers itself with mud. It weakens Electric-type moves while the user is in the battle.;15;0;0;Status;09D;;0;GROUND;0;20
SANDATTACK;238;Sand Attack;Sand is hurled in the target's face, reducing its accuracy.;15;0;0;Status;047;bce;100;GROUND;0;00
SPIKES;239;Spikes;The user lays a trap of spikes at the foe's feet. The trap hurts foes that switch into battle.;20;0;0;Status;103;c;0;GROUND;0;80
FREEZESHOCK;240;Freeze Shock;On the second turn, the user hits the foe with electrically charged ice. It may also paralyze the foe.;5;140;0;Physical;0C5;bef;90;ICE;30;00
ICEBURN;241;Ice Burn;On the second turn, an ultracold, freezing wind surrounds the foe. This may leave it with a burn.;5;140;0;Special;0C6;bef;90;ICE;30;00
BLIZZARD;242;Blizzard;A howling blizzard is summoned to strike the opposing team. It may also freeze them solid.;5;120;0;Special;00D;bef;70;ICE;10;04
ICEBEAM;243;Ice Beam;The target is struck with an icy-cold beam of energy. It may also freeze the target solid.;10;95;0;Special;00C;bef;100;ICE;10;00
ICICLECRASH;244;Icicle Crash;The user attacks by harshly dropping an icicle onto the foe. It may also make the target flinch.;10;85;0;Physical;00F;be;90;ICE;30;00
ICEPUNCH;245;Ice Punch;The target is punched with an icy fist. It may also leave the target frozen.;15;75;0;Physical;00C;abefj;100;ICE;10;00
AURORABEAM;246;Aurora Beam;The target is hit with a rainbow-colored beam. This may also lower the target's Attack stat.;20;65;0;Special;042;bef;100;ICE;10;00
GLACIATE;247;Glaciate;The user attacks by blowing freezing cold air at the foe. This attack reduces the targets' Speed stat.;10;65;0;Special;044;bef;95;ICE;100;04
ICEFANG;248;Ice Fang;The user bites with cold-infused fangs. It may also make the target flinch or leave it frozen.;15;65;0;Physical;00E;abei;95;ICE;10;00
AVALANCHE;249;Avalanche;An attack move that inflicts double the damage if the user has been hurt by the foe in the same turn.;10;60;-4;Physical;081;abef;100;ICE;0;00
ICYWIND;250;Icy Wind;The user attacks with a gust of chilled air. It also lowers the targets' Speed stat.;15;55;0;Special;044;bef;95;ICE;100;04
FROSTBREATH;251;Frost Breath;The user blows a cold breath on the target. This attack always results in a critical hit.;10;40;0;Special;0A0;bef;90;ICE;0;00
ICESHARD;252;Ice Shard;The user flash freezes chunks of ice and hurls them at the target. This move always goes first.;30;40;1;Physical;000;bef;100;ICE;0;00
POWDERSNOW;253;Powder Snow;The user attacks with a chilling gust of powdery snow. It may also freeze the targets.;25;40;0;Special;00C;bef;100;ICE;10;04
ICEBALL;254;Ice Ball;The user continually rolls into the target over five turns. It becomes stronger each time it hits.;20;30;0;Physical;0D3;abefn;90;ICE;0;00
ICICLESPEAR;255;Icicle Spear;The user launches sharp icicles at the target. It strikes two to five times in a row.;30;25;0;Physical;0C0;bef;100;ICE;0;00
SHEERCOLD;256;Sheer Cold;The foe is attacked with a blast of absolute-zero cold. The target instantly faints if it hits.;5;1;0;Special;070;be;30;ICE;0;00
HAIL;257;Hail;The user summons a hail storm lasting five turns. It damages all Pokemon except the Ice type.;10;0;0;Status;102;;0;ICE;0;20
HAZE;258;Haze;The user creates a haze that eliminates every stat change among all the Pokemon engaged in battle.;30;0;0;Status;051;;0;ICE;0;20
MIST;259;Mist;The user cloaks its body with a white mist that prevents any of its stats from being cut for five turns.;30;0;0;Status;056;d;0;ICE;0;40
EXPLOSION;260;Explosion;The user explodes to inflict damage on those around it. The user faints upon using this move.;5;250;0;Physical;0E0;bef;100;NORMAL;0;08
SELFDESTRUCT;261;Self-Destruct;The user blows up to inflict damage on all Pokemon in battle. The user faints upon using this move.;5;200;0;Physical;0E0;bef;100;NORMAL;0;08
GIGAIMPACT;262;Giga Impact;The user charges at the target using every bit of its power. The user must rest on the next turn.;5;150;0;Physical;0C2;abef;90;NORMAL;0;00
HYPERBEAM;263;Hyper Beam;The foe is attacked with a powerful beam. The user must rest on the next turn to regain its energy.;5;150;0;Special;0C2;bef;90;NORMAL;0;00
LASTRESORT;264;Last Resort;This move can be used only after the user has used all the other moves it knows in the battle.;5;140;0;Physical;125;abef;100;NORMAL;0;00
DOUBLEEDGE;265;Double-Edge;A reckless, life-risking tackle. It also damages the user by a fairly large amount, however.;15;120;0;Physical;0FB;abef;100;NORMAL;0;00
HEADCHARGE;266;Head Charge;The user charges its head into the foe, using its powerful guard hair. The user also takes damage.;15;120;0;Physical;0FA;abef;100;NORMAL;0;00
MEGAKICK;267;Mega Kick;The target is attacked by a kick launched with muscle-packed power.;5;120;0;Physical;000;abef;75;NORMAL;0;00
THRASH;268;Thrash;The user rampages and attacks for two to three turns. It then becomes confused, however.;10;120;0;Physical;0D2;abef;100;NORMAL;0;02
EGGBOMB;269;Egg Bomb;A large egg is hurled at the target with maximum force to inflict damage.;10;100;0;Physical;000;befn;75;NORMAL;0;00
JUDGMENT;270;Judgment;The user releases countless shots of light. Its type varies with the kind of Plate the user is holding.;10;100;0;Special;09F;bef;100;NORMAL;0;00
SKULLBASH;271;Skull Bash;The user tucks in its head to raise its Defense in the first turn, then rams the foe on the next turn.;15;100;0;Physical;0C8;abef;100;NORMAL;0;00
HYPERVOICE;272;Hyper Voice;The user lets loose a horribly echoing shout with the power to inflict damage.;10;90;0;Special;000;befk;100;NORMAL;0;04
ROCKCLIMB;273;Rock Climb;The user attacks the target by smashing into it with incredible force. It may also confuse the target.;20;90;0;Physical;013;abef;85;NORMAL;20;00
TAKEDOWN;274;Take Down;A reckless, full-body charge attack for slamming into the foe. It also damages the user a little.;20;90;0;Physical;0FA;abef;85;NORMAL;0;00
UPROAR;275;Uproar;The user attacks in an uproar for three turns. Over that time, no one can fall asleep.;10;90;0;Special;0D1;befk;100;NORMAL;0;02
BODYSLAM;276;Body Slam;The user drops onto the target with its full body weight. It may leave the target with paralysis.;15;85;0;Physical;007;abef;100;NORMAL;30;00
TECHNOBLAST;277;Techno Blast;The user fires a beam of light at its target. The type changes depending on the Drive the user holds.;5;85;0;Special;09F;bef;100;NORMAL;0;00
EXTREMESPEED;278;Extreme Speed;The user charges the target at blinding speed. This attack always goes before any other move.;5;80;2;Physical;000;abef;100;NORMAL;0;00
HYPERFANG;279;Hyper Fang;The user bites hard on the target with its sharp front fangs. It may also make the target flinch.;15;80;0;Physical;00F;abe;90;NORMAL;10;00
MEGAPUNCH;280;Mega Punch;The target is slugged by a punch thrown with muscle-packed power.;20;80;0;Physical;000;abefj;85;NORMAL;0;00
RAZORWIND;281;Razor Wind;A two-turn attack. Blades of wind hit the foe on the second turn. Critical hits land more easily.;10;80;0;Special;0C3;befh;100;NORMAL;0;04
SLAM;282;Slam;The target is slammed with a long tail, vines, etc., to inflict damage.;20;80;0;Physical;000;abef;75;NORMAL;0;00
STRENGTH;283;Strength;The target is slugged with a punch thrown at maximum power. It can also be used to move heavy boulders.;15;80;0;Physical;000;abef;100;NORMAL;0;00
TRIATTACK;284;Tri Attack;The user strikes with a simultaneous three-beam attack. May also paralyze, burn, or freeze the target.;10;80;0;Special;017;bef;100;NORMAL;20;00
CRUSHCLAW;285;Crush Claw;The user slashes the target with hard and sharp claws. It may also lower the target's Defense.;10;75;0;Physical;043;abef;95;NORMAL;50;00
RELICSONG;286;Relic Song;An ancient song appeals to the hearts of those listening. It may also induce sleep.;10;75;0;Special;003;befk;100;NORMAL;100;04
CHIPAWAY;287;Chip Away;Seeking an opening, the user strikes continually. The foe's stat changes don't affect the damage.;20;70;0;Physical;0A9;abef;100;NORMAL;0;00
DIZZYPUNCH;288;Dizzy Punch;The target is hit with rhythmically launched punches that may also leave it confused.;10;70;0;Physical;013;abefj;100;NORMAL;20;00
FACADE;289;Facade;An attack move that doubles its power if the user is poisoned, burned, or has paralysis.;20;70;0;Physical;07E;abef;100;NORMAL;0;00
HEADBUTT;290;Headbutt;The user sticks out its head and attacks by charging into the foe. It may also make the target flinch.;15;70;0;Physical;00F;abe;100;NORMAL;30;00
RETALIATE;291;Retaliate;Gets revenge for a fainted ally. If an ally fainted in the last turn, this attack's damage increases.;5;70;0;Physical;085;abef;100;NORMAL;0;00
SECRETPOWER;292;Secret Power;The user attacks with a secret power. Its added effects vary depending on the user's environment.;20;70;0;Physical;0A4;be;100;NORMAL;30;00
SLASH;293;Slash;The target is attacked with a slash of claws or blades. Critical hits land more easily.;20;70;0;Physical;000;abefh;100;NORMAL;0;00
HORNATTACK;294;Horn Attack;The target is jabbed with a sharply pointed horn to inflict damage.;25;65;0;Physical;000;abef;100;NORMAL;0;00
STOMP;295;Stomp;The target is stomped with a big foot. It may also make the target flinch.;20;65;0;Physical;010;abe;100;NORMAL;30;00
COVET;296;Covet;The user endearingly approaches the target, then steals the target's held item.;40;60;0;Physical;0F1;abef;100;NORMAL;0;00
ROUND;297;Round;The user attacks with a song. Others can join in the Round and make the attack do greater damage.;15;60;0;Special;083;befk;100;NORMAL;0;00
SMELLINGSALTS;298;Smelling Salts;This attack inflicts double damage on a paralyzed foe. It also cures the target's paralysis, however.;10;60;0;Physical;07C;abef;100;NORMAL;0;00
SWIFT;299;Swift;Star-shaped rays are shot at the opposing team. This attack never misses.;20;60;0;Special;0A5;bef;0;NORMAL;0;04
VICEGRIP;300;Vice Grip;The target is gripped and squeezed from both sides to inflict damage.;30;55;0;Physical;000;abef;100;NORMAL;0;00
CUT;301;Cut;The target is cut with a scythe or a claw. It can also be used to cut down thin trees.;30;50;0;Physical;000;abef;95;NORMAL;0;00
STRUGGLE;302;Struggle;An attack that is used in desperation only if the user has no PP. It also hurts the user slightly.;1;50;0;Physical;002;abf;0;NORMAL;0;00
TACKLE;303;Tackle;A physical attack in which the user charges and slams into the target with its whole body.;35;50;0;Physical;000;abef;100;NORMAL;0;00
WEATHERBALL;304;Weather Ball;An attack move that varies in power and type depending on the weather.;10;50;0;Special;087;befn;100;NORMAL;0;00
ECHOEDVOICE;305;Echoed Voice;The user attacks the foe with an echoing voice. If this move is used every turn, it does greater damage.;15;40;0;Special;092;befk;100;NORMAL;0;00
FAKEOUT;306;Fake Out;An attack that hits first and makes the target flinch. It only works the first turn the user is in battle.;10;40;3;Physical;012;abe;100;NORMAL;100;00
FALSESWIPE;307;False Swipe;A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.;40;40;0;Physical;0E9;abef;100;NORMAL;0;00
PAYDAY;308;Pay Day;Numerous coins are hurled at the target to inflict damage. Money is earned after battle.;20;40;0;Physical;109;bef;100;NORMAL;0;00
POUND;309;Pound;The target is physically pounded with a long tail or a foreleg, etc.;35;40;0;Physical;000;abef;100;NORMAL;0;00
QUICKATTACK;310;Quick Attack;The user lunges at the target at a speed that makes it almost invisible. It is sure to strike first.;30;40;1;Physical;000;abef;100;NORMAL;0;00
SCRATCH;311;Scratch;Hard, pointed, and sharp claws rake the target to inflict damage.;35;40;0;Physical;000;abef;100;NORMAL;0;00
SNORE;312;Snore;An attack that can be used only if the user is asleep. The harsh noise may also make the target flinch.;15;40;0;Special;011;bek;100;NORMAL;30;00
DOUBLEHIT;313;Double Hit;The user slams the target with a long tail, vines, or tentacle. The target is hit twice in a row.;10;35;0;Physical;0BD;abef;90;NORMAL;0;00
FEINT;314;Feint;An attack that hits a target using Protect or Detect. It also lifts the effects of those moves.;10;30;2;Physical;0AD;f;100;NORMAL;0;00
TAILSLAP;315;Tail Slap;The user attacks by striking the target with its hard tail. It hits the Pokemon two to five times in a row.;10;25;0;Physical;0C0;abef;85;NORMAL;0;00
RAGE;316;Rage;As long as this move is in use, the user's Attack rises each time the user is hit in battle.;20;20;0;Physical;093;abef;100;NORMAL;0;00
RAPIDSPIN;317;Rapid Spin;A spin attack that can also eliminate such moves as Bind, Wrap, Leech Seed, and Spikes.;40;20;0;Physical;110;abef;100;NORMAL;0;00
SPIKECANNON;318;Spike Cannon;Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.;15;20;0;Physical;0C0;bef;100;NORMAL;0;00
COMETPUNCH;319;Comet Punch;The target is hit with a flurry of punches that strike two to five times in a row.;15;18;0;Physical;0C0;abefj;85;NORMAL;0;00
FURYSWIPES;320;Fury Swipes;The target is raked with sharp claws or scythes for two to five times in quick succession.;15;18;0;Physical;0C0;abef;80;NORMAL;0;00
BARRAGE;321;Barrage;Round objects are hurled at the target to strike two to five times in a row.;20;15;0;Physical;0C0;befn;85;NORMAL;0;00
BIND;322;Bind;Things such as long bodies or tentacles are used to bind and squeeze the foe for four to five turns.;20;15;0;Physical;0CF;abef;85;NORMAL;0;00
DOUBLESLAP;323;Double Slap;The target is slapped repeatedly, back and forth, two to five times in a row.;10;15;0;Physical;0C0;abef;85;NORMAL;0;00
FURYATTACK;324;Fury Attack;The target is jabbed repeatedly with a horn or beak two to five times in a row.;20;15;0;Physical;0C0;abef;85;NORMAL;0;00
WRAP;325;Wrap;A long body or vines are used to wrap and squeeze the target for four to five turns.;20;15;0;Physical;0CF;abef;90;NORMAL;0;00
CONSTRICT;326;Constrict;The foe is attacked with long, creeping tentacles or vines. It may also lower the target's Speed.;35;10;0;Physical;044;abef;100;NORMAL;10;00
BIDE;327;Bide;The user endures attacks for two turns, then strikes back to cause double the damage taken.;10;1;1;Physical;0D4;abf;0;NORMAL;0;10
CRUSHGRIP;328;Crush Grip;The target is crushed with great force. The attack is more powerful the more HP the target has left.;5;1;0;Physical;08C;abef;100;NORMAL;0;00
ENDEAVOR;329;Endeavor;An attack move that cuts down the target's HP to equal the user's HP.;5;1;0;Physical;06E;abef;100;NORMAL;0;00
FLAIL;330;Flail;The user flails about aimlessly to attack. It becomes more powerful the less HP the user has.;15;1;0;Physical;098;abef;100;NORMAL;0;00
FRUSTRATION;331;Frustration;A full-power attack that grows more powerful the less the user likes its Trainer.;20;1;0;Physical;08A;abef;100;NORMAL;0;00
GUILLOTINE;332;Guillotine;A vicious, tearing attack with big pincers. The target will faint instantly if this attack hits.;5;1;0;Physical;070;abe;30;NORMAL;0;00
HIDDENPOWER;333;Hidden Power;A unique attack that varies in type and intensity depending on the Pokemon using it.;15;1;0;Special;090;bef;100;NORMAL;0;00
HORNDRILL;334;Horn Drill;The user stabs the foe with a horn that rotates like a drill. If it hits, the target faints instantly.;5;1;0;Physical;070;abe;30;NORMAL;0;00
NATURALGIFT;335;Natural Gift;The user draws power to attack by using its held Berry. The Berry determines its type and power.;15;1;0;Physical;096;be;100;NORMAL;0;00
PRESENT;336;Present;The user attacks by giving the target a gift with a hidden trap. It restores HP sometimes, however.;15;1;0;Physical;094;be;90;NORMAL;0;00
RETURN;337;Return;A full-power attack that grows more powerful the more the user likes its Trainer.;20;1;0;Physical;089;abef;100;NORMAL;0;00
SONICBOOM;338;Sonic Boom;The target is hit with a destructive shock wave that always inflicts 20 HP damage.;20;1;0;Special;06A;bef;90;NORMAL;0;00
SPITUP;339;Spit Up;The power stored using the move Stockpile is released all at once in an attack.;10;1;0;Special;113;bf;100;NORMAL;0;00
SUPERFANG;340;Super Fang;The user chomps hard on the target with its sharp front fangs. It cuts the target's HP to half.;10;1;0;Physical;06C;abef;90;NORMAL;0;00
TRUMPCARD;341;Trump Card;The fewer PP this move has, the greater its attack power.;5;1;0;Special;097;abef;0;NORMAL;0;00
WRINGOUT;342;Wring Out;The user powerfully wrings the foe. The more HP the foe has, the greater this attack's power.;5;1;0;Special;08C;abef;100;NORMAL;0;00
ACUPRESSURE;343;Acupressure;The user applies pressure to stress points, sharply boosting one of its stats.;30;0;0;Status;037;;0;NORMAL;0;200
AFTERYOU;344;After You;The user helps the target and makes it use its move right after the user.;15;0;0;Status;11D;;0;NORMAL;0;00
ASSIST;345;Assist;The user hurriedly and randomly uses a move among those known by other Pokemon in the party.;20;0;0;Status;0B5;;0;NORMAL;0;10
ATTRACT;346;Attract;If it is the opposite gender of the user, the target becomes infatuated and less likely to attack.;15;0;0;Status;016;bce;100;NORMAL;0;00
BATONPASS;347;Baton Pass;The user switches places with a party Pokemon in waiting, passing along any stat changes.;40;0;0;Status;0ED;;0;NORMAL;0;10
BELLYDRUM;348;Belly Drum;The user maximizes its Attack stat in exchange for HP equal to half its max HP.;10;0;0;Status;03A;d;0;NORMAL;0;10
BESTOW;349;Bestow;The user passes its held item to the target when the target isn't holding an item.;15;0;0;Status;0F3;be;0;NORMAL;0;00
BLOCK;350;Block;The user blocks the target's way with arms spread wide to prevent escape.;5;0;0;Status;0EF;bce;0;NORMAL;0;00
CAMOUFLAGE;351;Camouflage;The user's type is changed depending on its environment, such as at water's edge, in grass, or in a cave.;20;0;0;Status;060;d;0;NORMAL;0;10
CAPTIVATE;352;Captivate;If it is the opposite gender of the user, the target is charmed into harshly lowering its Sp. Atk stat.;20;0;0;Status;04E;bce;100;NORMAL;0;04
CHARM;353;Charm;The user charmingly gazes at the foe, making it less wary. The target's Attack is harshly lowered.;20;0;0;Status;04B;bce;100;NORMAL;0;00
CONVERSION;354;Conversion;The user changes its type to become the same type as one of its moves.;30;0;0;Status;05E;d;0;NORMAL;0;10
CONVERSION2;355;Conversion 2;The user changes its type to make itself resistant to the type of the attack the opponent used last.;30;0;0;Status;05F;;0;NORMAL;0;00
COPYCAT;356;Copycat;The user mimics the move used immediately before it. The move fails if no other move has been used yet.;20;0;0;Status;0AF;;0;NORMAL;0;10
DEFENSECURL;357;Defense Curl;The user curls up to conceal weak spots and raise its Defense stat.;40;0;0;Status;01E;d;0;NORMAL;0;10
DISABLE;358;Disable;For four turns, this move prevents the target from using the move it last used.;20;0;0;Status;0B9;bce;100;NORMAL;0;00
DOUBLETEAM;359;Double Team;By moving rapidly, the user makes illusory copies of itself to raise its evasiveness.;15;0;0;Status;022;d;0;NORMAL;0;10
ENCORE;360;Encore;The user compels the target to keep using only the move it last used for three turns.;5;0;0;Status;0BC;bce;100;NORMAL;0;00
ENDURE;361;Endure;The user endures any attack with at least 1 HP. Its chance of failing rises if it is used in succession.;10;0;3;Status;0E8;;0;NORMAL;0;10
ENTRAINMENT;362;Entrainment;The user dances to compel the target to mimic it, making the target's Ability the same as the user's.;15;0;0;Status;066;bce;100;NORMAL;0;00
FLASH;363;Flash;The user flashes a light that cuts the target's accuracy. It can also be used to illuminate caves.;20;0;0;Status;047;bce;100;NORMAL;0;00
FOCUSENERGY;364;Focus Energy;The user takes a deep breath and focuses so that critical hits land more easily.;30;0;0;Status;023;d;0;NORMAL;0;10
FOLLOWME;365;Follow Me;The user draws attention to itself, making all targets take aim only at the user.;20;0;3;Status;117;;0;NORMAL;0;10
FORESIGHT;366;Foresight;Enables the user to hit a Ghost type with any kind of move. It also enables the user to hit an evasive foe.;40;0;0;Status;0A7;bce;0;NORMAL;0;00
GLARE;367;Glare;The user intimidates the target with the pattern on its belly to cause paralysis.;30;0;0;Status;007;bce;90;NORMAL;0;00
GROWL;368;Growl;The user growls in an endearing way, making the foe less wary. The foe's Attack stat is lowered.;40;0;0;Status;042;bcek;100;NORMAL;0;04
GROWTH;369;Growth;The user's body grows all at once, raising the Atk and Sp. Atk stats.;40;0;0;Status;028;d;0;NORMAL;0;10
HARDEN;370;Harden;The user stiffens all the muscles in its body to raise its Defense stat.;30;0;0;Status;01D;d;0;NORMAL;0;10
HEALBELL;371;Heal Bell;The user makes a soothing bell chime to heal the status problems of all the party Pokemon.;5;0;0;Status;019;d;0;NORMAL;0;40
HELPINGHAND;372;Helping Hand;The user assists an ally by boosting the power of its attack.;20;0;5;Status;09C;;0;NORMAL;0;100
HOWL;373;Howl;The user howls loudly to raise its spirit, boosting its Attack stat.;40;0;0;Status;01C;d;0;NORMAL;0;10
LEER;374;Leer;The user gains an intimidating leer with sharp eyes. The target's Defense stat is reduced.;30;0;0;Status;043;bce;100;NORMAL;0;04
LOCKON;375;Lock-On;The user takes sure aim at the target. It ensures the next attack does not fail to hit the target.;5;0;0;Status;0A6;be;0;NORMAL;0;00
LOVELYKISS;376;Lovely Kiss;With a scary face, the user tries to force a kiss on the target. If it suceeds, the target falls asleep.;10;0;0;Status;003;bce;75;NORMAL;0;00
LUCKYCHANT;377;Lucky Chant;The user chants an incantation toward the sky, preventing the foe from landing critical hits.;30;0;0;Status;0A1;d;0;NORMAL;0;40
MEFIRST;378;Me First;The user tries to cut ahead of the foe to steal and use the foe's intended move with greater power.;20;0;0;Status;0B0;b;0;NORMAL;0;400
MEANLOOK;379;Mean Look;The user pins the target with a dark, arresting look. The target becomes unable to flee.;5;0;0;Status;0EF;bce;0;NORMAL;0;00
METRONOME;380;Metronome;The user waggles a finger and stimulates its brain into randomly using nearly any move.;10;0;0;Status;0B6;;0;NORMAL;0;10
