InternalName;FormName;BattlerEnemyY;EggMoves;id;Name;GrowthRate;Rareness;HiddenAbility;EffortPoints;RegionalNumbers;WildItemUncommon;Compatibility;Kind;BattlerAltitude;StepsToHatch;BattlerPlayerY;Incense;GenderRate;Evolutions;Pokedex;BaseEXP;WildItemCommon;Abilities;Habitat;Weight;Color;BaseStats;Height;Shape;Moves;Type1;WildItemRare;Happiness;Type2
HOOTHOOT;;20;AGILITY,DEFOG,FEINTATTACK,FEATHERDANCE,MIRRORMOVE,NIGHTSHADE,SKYATTACK,SUPERSONIC,WHIRLWIND,WINGATTACK;163;Hoothoot;Medium;255;TINTEDLENS;1,0,0,0,0,0;0,15;;Flying;Owl;0;4080;0;;0.5;NOCTOWL,Level,20;It has an internal organ that senses the earth's rotation. Using this special organ, a Hoothoot begins hooting at precisely the same time every day.;52;;INSOMNIA,KEENEYE;Forest;21.2;Brown;60,30,30,50,36,56;0.7;9;1,TACKLE,1,GROWL,1,FORESIGHT,5,HYPNOSIS,9,PECK,13,UPROAR,17,REFLECT,21,CONFUSION,25,ECHOEDVOICE,29,TAKEDOWN,33,AIRSLASH,37,ZENHEADBUTT,41,SYNCHRONOISE,45,EXTRASENSORY,49,PSYCHOSHIFT,53,ROOST,57,DREAMEATER;NORMAL;;70;FLYING
NOCTOWL;;11;;164;Noctowl;Medium;90;TINTEDLENS;2,0,0,0,0,0;0,16;;Flying;Owl;0;4080;0;;0.5;;It unfailingly catches prey in darkness. Noctowl owe their success to superior vision that allows them to see in minimal light, and to their supple and silent wings.;155;;INSOMNIA,KEENEYE;Forest;40.8;Brown;100,50,50,70,76,96;1.6;9;1,SKYATTACK,1,TACKLE,1,GROWL,1,FORESIGHT,1,HYPNOSIS,5,HYPNOSIS,9,PECK,13,UPROAR,17,REFLECT,22,CONFUSION,27,ECHOEDVOICE,32,TAKEDOWN,37,AIRSLASH,42,ZENHEADBUTT,47,SYNCHRONOISE,52,EXTRASENSORY,57,PSYCHOSHIFT,62,ROOST,67,DREAMEATER;NORMAL;;70;FLYING
LEDYBA;;18;BIDE,BUGBITE,BUGBUZZ,DIZZYPUNCH,DRAINPUNCH,ENCORE,FOCUSPUNCH,KNOCKOFF,PSYBEAM,SCREECH,SILVERWIND;165;Ledyba;Fast;255;RATTLED;0,0,0,0,0,1;0,30;;Bug;Five Star;0;4080;0;;0.5;LEDIAN,Level,18;Ledyba communicate using a fluid that they secrete from where the legs join the body. They are said to convey feelings to others by altering the fluid's scent.;53;;SWARM,EARLYBIRD;Forest;10.8;Red;40,20,30,55,40,80;1.0;9;1,TACKLE,6,SUPERSONIC,9,COMETPUNCH,14,LIGHTSCREEN,14,REFLECT,14,SAFEGUARD,17,MACHPUNCH,22,BATONPASS,25,SILVERWIND,30,AGILITY,33,SWIFT,38,DOUBLEEDGE,41,BUGBUZZ;BUG;;70;FLYING
LEDIAN;;15;;166;Ledian;Fast;90;IRONFIST;0,0,0,0,0,2;0,31;;Bug;Five Star;0;4080;0;;0.5;;It is said that in lands with clean air, where the stars fill the sky, there live many Ledian. For good reason, they use the light of the stars as energy.;137;;SWARM,EARLYBIRD;Forest;35.6;Red;55,35,50,85,55,110;1.4;9;1,TACKLE,1,SUPERSONIC,1,COMETPUNCH,6,SUPERSONIC,9,COMETPUNCH,14,LIGHTSCREEN,14,REFLECT,14,SAFEGUARD,17,MACHPUNCH,24,BATONPASS,29,SILVERWIND,36,AGILITY,41,SWIFT,48,DOUBLEEDGE,53,BUGBUZZ;BUG;;70;FLYING
SPINARAK;;32;BATONPASS,DISABLE,ELECTROWEB,NIGHTSLASH,PSYBEAM,PURSUIT,RAGEPOWDER,SIGNALBEAM,SONICBOOM,TOXICSPIKES,TWINEEDLE;167;Spinarak;Fast;255;SNIPER;0,1,0,0,0,0;0,32;;Bug;String Spit;0;4080;0;;0.5;ARIADOS,Level,22;The web it spins can be considered its second nervous system. It is said that a Spinarak determines its prey by the tiny vibrations it feels through the web.;50;;SWARM,INSOMNIA;Forest;8.5;Green;40,60,40,30,40,40;0.5;14;1,POISONSTING,1,STRINGSHOT,5,SCARYFACE,8,CONSTRICT,12,LEECHLIFE,15,NIGHTSHADE,19,SHADOWSNEAK,22,FURYSWIPES,26,SUCKERPUNCH,29,SPIDERWEB,33,AGILITY,36,PINMISSILE,40,PSYCHIC,43,POISONJAB,47,CROSSPOISON;BUG;;70;POISON
ARIADOS;;20;;168;Ariados;Fast;90;SNIPER;0,2,0,0,0,0;0,33;;Bug;Long Leg;0;4080;0;;0.5;;Its feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. It constricts its foe with thin and strong silk webbing.;137;;SWARM,INSOMNIA;Forest;33.5;Red;70,90,70,40,60,60;1.1;14;1,BUGBITE,1,POISONSTING,1,STRINGSHOT,1,SCARYFACE,1,CONSTRICT,5,SCARYFACE,8,CONSTRICT,12,LEECHLIFE,15,NIGHTSHADE,19,SHADOWSNEAK,23,FURYSWIPES,28,SUCKERPUNCH,32,SPIDERWEB,37,AGILITY,41,PINMISSILE,46,PSYCHIC,50,POISONJAB,55,CROSSPOISON;BUG;;70;POISON
CROBAT;;12;;169;Crobat;Medium;90;INFILTRATOR;0,0,0,3,0,0;0,39;;Flying;Bat;12;4080;0;;0.5;;Over the course of evolution, its hind legs turned into wings. By alternately resting its front and rear wings, it can fly all day without having to stop.;241;;INNERFOCUS;Cave;75.0;Purple;85,90,80,130,70,80;1.8;13;1,CROSSPOISON,1,SCREECH,1,LEECHLIFE,1,SUPERSONIC,1,ASTONISH,4,SUPERSONIC,8,ASTONISH,12,BITE,15,WINGATTACK,19,CONFUSERAY,24,SWIFT,28,AIRCUTTER,33,ACROBATICS,38,MEANLOOK,42,POISONFANG,47,HAZE,52,AIRSLASH;POISON;;70;FLYING
CHINCHOU;;23;AGILITY,AMNESIA,BRINE,FLAIL,MIST,PSYBEAM,SCREECH,SHOCKWAVE,WATERPULSE,WHIRLPOOL;170;Chinchou;Slow;190;WATERABSORB;1,0,0,0,0,0;0,176;DEEPSEASCALE;Water2;Angler;10;5355;0;;0.5;LANTURN,Level,27;When it senses danger, it discharges positive and negative electricity from its two antennae. It lives in depths beyond sunlight's reach.;66;;VOLTABSORB,ILLUMINATE;Sea;12.0;Blue;75,38,38,67,56,56;0.5;3;1,SUPERSONIC,1,BUBBLE,6,THUNDERWAVE,9,FLAIL,12,CONFUSERAY,17,WATERGUN,20,SPARK,23,TAKEDOWN,28,ELECTROBALL,31,BUBBLEBEAM,34,SIGNALBEAM,39,DISCHARGE,42,AQUARING,45,HYDROPUMP,50,CHARGE;WATER;;70;ELECTRIC
LANTURN;;20;;171;Lanturn;Slow;75;WATERABSORB;2,0,0,0,0,0;0,177;DEEPSEASCALE;Water2;Light;11;5355;0;;0.5;;The light-emitting orbs on its back are very bright. They are formed from a part of its dorsal fin. This Pokemon illuminates the inky darkness of deep seas.;161;;VOLTABSORB,ILLUMINATE;Sea;22.5;Blue;125,58,58,67,76,76;1.2;3;1,BUBBLE,1,SUPERSONIC,1,THUNDERWAVE,6,THUNDERWAVE,9,FLAIL,12,WATERGUN,17,CONFUSERAY,20,SPARK,23,TAKEDOWN,27,STOCKPILE,27,SWALLOW,27,SPITUP,30,ELECTROBALL,35,BUBBLEBEAM,40,SIGNALBEAM,47,DISCHARGE,52,AQUARING,57,HYDROPUMP,64,CHARGE;WATER;;70;ELECTRIC
PICHU;;23;BESTOW,BIDE,CHARGE,DOUBLESLAP,ENCORE,ENDURE,FAKEOUT,FLAIL,LUCKYCHANT,PRESENT,REVERSAL,THUNDERPUNCH,TICKLE,WISH;172;Pichu;Medium;190;LIGHTNINGROD;0,0,0,1,0,0;0,21;;Undiscovered;Tiny Mouse;0;2805;0;;0.5;PIKACHU,Happiness,;It is still inept at retaining electricity. When it is startled, it discharges power accidentally. It gets better at holding power as it grows older.;41;ORANBERRY;STATIC;Forest;2.0;Yellow;20,40,15,60,35,35;0.3;8;1,THUNDERSHOCK,1,CHARM,5,TAILWHIP,10,THUNDERWAVE,13,SWEETKISS,18,NASTYPLOT;ELECTRIC;;70;
CLEFFA;;28;AMNESIA,AROMATHERAPY,BELLYDRUM,COVET,FAKETEARS,METRONOME,MIMIC,PRESENT,SPLASH,STOREDPOWER,TICKLE,WISH;173;Cleffa;Fast;150;FRIENDGUARD;0,0,0,0,0,1;0,40;MOONSTONE;Undiscovered;Star Shape;0;2805;0;;0.75;CLEFAIRY,Happiness,;On nights with many shooting stars, Cleffa can be seen dancing in a ring. They dance until daybreak, when they quench their thirst with the morning dew.;44;LEPPABERRY;CUTECHARM,MAGICGUARD;Mountain;3.0;Pink;50,25,28,15,45,55;0.3;6;1,POUND,1,CHARM,4,ENCORE,7,SING,10,SWEETKISS,13,COPYCAT,16,MAGICALLEAF;NORMAL;COMETSHARD;140;
IGGLYBUFF;;27;CAPTIVATE,COVET,FEINTATTACK,FAKETEARS,GRAVITY,LASTRESORT,PERISHSONG,PRESENT,PUNISHMENT,SLEEPTALK,WISH;174;Igglybuff;Fast;170;FRIENDGUARD;1,0,0,0,0,0;0,43;;Undiscovered;Balloon;0;2805;0;;0.75;JIGGLYPUFF,Happiness,;Its soft and pliable body is very bouncy. When it sings continuously with all its might, its body steadily turns a deepening pink color.;42;;CUTECHARM;Grassland;1.0;Pink;90,30,15,15,40,20;0.3;12;1,SING,1,CHARM,5,DEFENSECURL,9,POUND,13,SWEETKISS,17,COPYCAT;NORMAL;;70;
TOGEPI;;28;EXTRASENSORY,FORESIGHT,FUTURESIGHT,LUCKYCHANT,MIRRORMOVE,MORNINGSUN,NASTYPLOT,PECK,PRESENT,PSYCHOSHIFT,SECRETPOWER,STOREDPOWER;175;Togepi;Fast;190;SUPERLUCK;0,0,0,0,0,1;0,46;;Undiscovered;Spike Ball;0;2805;0;;0.125;TOGETIC,Happiness,;As its energy, it uses the feelings of compassion and pleasure exuded by people and Pokemon. It stores up happy feelings in its shell, then shares them out.;49;;HUSTLE,SERENEGRACE;Forest;1.5;White;35,20,65,20,40,65;0.3;12;1,GROWL,1,CHARM,5,METRONOME,9,SWEETKISS,13,YAWN,17,ENCORE,21,FOLLOWME,25,BESTOW,29,WISH,33,ANCIENTPOWER,37,SAFEGUARD,41,BATONPASS,45,DOUBLEEDGE,49,LASTRESORT,53,AFTERYOU;NORMAL;;70;
TOGETIC;;23;;176;Togetic;Fast;75;SUPERLUCK;0,0,0,0,0,2;0,47;;Flying,Fairy;Happiness;12;2805;0;;0.125;TOGEKISS,Item,SHINYSTONE;It is said to be a Pokemon that brings good fortune. When it spots someone who is pure of heart, a Togetic appears and shares its happiness with that person.;142;;HUSTLE,SERENEGRACE;Forest;3.2;White;55,40,85,40,80,105;0.6;12;1,MAGICALLEAF,1,GROWL,1,CHARM,1,METRONOME,1,SWEETKISS,5,METRONOME,9,SWEETKISS,13,YAWN,17,ENCORE,21,FOLLOWME,25,BESTOW,29,WISH,33,ANCIENTPOWER,37,SAFEGUARD,41,BATONPASS,45,DOUBLEEDGE,49,LASTRESORT,53,AFTERYOU;NORMAL;;70;FLYING
NATU;;28;DRILLPECK,FEINTATTACK,FEATHERDANCE,HAZE,QUICKATTACK,REFRESH,ROOST,SKILLSWAP,STEELWING,SUCKERPUNCH,SYNCHRONOISE,ZENHEADBUTT;177;Natu;Medium;190;MAGICBOUNCE;0,0,0,0,1,0;0,161;;Flying;Tiny Bird;0;5355;0;;0.5;XATU,Level,25;It runs up short trees that grow on the savanna to peck at new shoots. A Natu's eyes look as if they are always observing something.;64;;SYNCHRONIZE,EARLYBIRD;Forest;2.0;Green;40,50,45,70,70,45;0.2;9;1,PECK,1,LEER,6,NIGHTSHADE,9,TELEPORT,12,LUCKYCHANT,17,MIRACLEEYE,20,MEFIRST,23,CONFUSERAY,28,WISH,33,PSYCHOSHIFT,36,FUTURESIGHT,39,STOREDPOWER,44,OMINOUSWIND,47,POWERSWAP,47,GUARDSWAP,50,PSYCHIC;PSYCHIC;;70;FLYING
XATU;;15;;178;Xatu;Medium;75;MAGICBOUNCE;0,0,0,1,1,0;0,162;;Flying;Mystic;0;5355;0;;0.5;;It has the enigmatic power of foreseeing the future. Some people in different lands have long believed that Xatu are emissaries from another world.;165;;SYNCHRONIZE,EARLYBIRD;Forest;15.0;Green;65,75,70,95,95,70;1.5;9;1,PECK,1,LEER,6,NIGHTSHADE,9,TELEPORT,12,LUCKYCHANT,17,MIRACLEEYE,20,MEFIRST,23,CONFUSERAY,27,TAILWIND,30,WISH,37,PSYCHOSHIFT,42,FUTURESIGHT,47,STOREDPOWER,54,OMINOUSWIND,54,POWERSWAP,59,GUARDSWAP,66,PSYCHIC;PSYCHIC;;70;FLYING
MAREEP;;24;AFTERYOU,AGILITY,BODYSLAM,CHARGE,FLATTER,IRONTAIL,ODORSLEUTH,SANDATTACK,SCREECH,TAKEDOWN;179;Mareep;Parabolic;235;PLUS;0,0,0,0,1,0;0,53;;Monster,Field;Wool;0;5355;0;;0.5;FLAAFFY,Level,15;Its fluffy wool rubs together and builds a static charge. The more energy is charged, the more brightly the lightbulb at the tip of its tail glows.;56;;STATIC;Grassland;7.8;White;55,40,40,35,65,45;0.6;8;1,TACKLE,1,GROWL,4,THUNDERWAVE,8,THUNDERSHOCK,11,COTTONSPORE,15,CHARGE,18,TAKEDOWN,22,ELECTROBALL,25,CONFUSERAY,29,POWERGEM,32,DISCHARGE,36,COTTONGUARD,39,SIGNALBEAM,43,LIGHTSCREEN,46,THUNDER;ELECTRIC;;70;
FLAAFFY;;17;;180;Flaaffy;Parabolic;120;PLUS;0,0,0,0,2,0;0,54;;Monster,Field;Wool;0;5355;0;;0.5;AMPHAROS,Level,30;Its fleece quality changes to generate strong static electricity with a small amount of wool. The bare, slick parts of its hide are shielded against electricity.;128;;STATIC;Grassland;13.3;Pink;70,55,55,45,80,60;0.8;6;1,TACKLE,1,GROWL,1,THUNDERWAVE,1,THUNDERSHOCK,4,THUNDERWAVE,8,THUNDERSHOCK,11,COTTONSPORE,16,CHARGE,20,TAKEDOWN,25,ELECTROBALL,29,CONFUSERAY,34,POWERGEM,38,DISCHARGE,43,COTTONGUARD,47,SIGNALBEAM,52,LIGHTSCREEN,56,THUNDER;ELECTRIC;;70;
AMPHAROS;;12;;181;Ampharos;Parabolic;45;PLUS;0,0,0,0,3,0;0,55;;Monster,Field;Light;0;5355;0;;0.5;;It gives off so much light that it can be seen even from space. People in the old days used its light to send signals back and forth with others far away.;225;;STATIC;Grassland;61.5;Yellow;90,75,75,55,115,90;1.4;6;1,FIREPUNCH,1,TACKLE,1,GROWL,1,THUNDERWAVE,1,THUNDERSHOCK,4,THUNDERWAVE,8,THUNDERSHOCK,11,COTTONSPORE,16,CHARGE,20,TAKEDOWN,25,ELECTROBALL,29,CONFUSERAY,30,THUNDERPUNCH,35,POWERGEM,40,DISCHARGE,46,COTTONGUARD,51,SIGNALBEAM,57,LIGHTSCREEN,62,THUNDER;ELECTRIC;;70;
BELLOSSOM;;27;;182;Bellossom;Parabolic;45;HEALER;0,0,0,0,0,3;0,86;;Grass;Flower;0;5355;0;;0.5;;Its flower petals deepen in color through exposure to sunlight. When cloudy weather persists, it does a dance that is thought to be a ritual for summoning the sun.;216;;CHLOROPHYLL;Grassland;5.8;Green;75,80,85,50,90,100;0.4;12;1,LEAFBLADE,1,MEGADRAIN,1,SWEETSCENT,1,STUNSPORE,1,SUNNYDAY,23,MAGICALLEAF,53,LEAFSTORM;GRASS;;70;
MARILL;;25;AMNESIA,AQUAJET,BELLYDRUM,BODYSLAM,FUTURESIGHT,MUDDYWATER,PERISHSONG,PRESENT,REFRESH,SUPERPOWER,SUPERSONIC,WATERSPORT;183;Marill;Fast;190;SAPSIPPER;2,0,0,0,0,0;0,132;;Water1,Fairy;Aqua Mouse;0;2805;0;;0.5;AZUMARILL,Level,18;Its body is covered with water-repellent fur. Because of the fur, it can swim through water at high speed without being slowed by the water's resistance.;88;;THICKFAT,HUGEPOWER;WatersEdge;8.5;Blue;70,20,50,40,20,50;0.4;6;1,TACKLE,1,BUBBLE,2,TAILWHIP,5,WATERSPORT,7,WATERGUN,10,DEFENSECURL,10,ROLLOUT,13,BUBBLEBEAM,16,HELPINGHAND,20,AQUATAIL,23,DOUBLEEDGE,28,AQUARING,31,RAINDANCE,37,SUPERPOWER,40,HYDROPUMP;WATER;;70;
AZUMARILL;;15;;184;Azumarill;Fast;75;SAPSIPPER;3,0,0,0,0,0;0,133;;Water1,Fairy;Aqua Rabbit;0;2805;0;;0.5;;It lives in water virtually all day long. Its body color and pattern act as camouflage that makes it tough for enemies to spot in water.;185;;THICKFAT,HUGEPOWER;WatersEdge;28.5;Blue;100,50,80,50,50,80;0.8;6;1,TACKLE,1,BUBBLE,1,TAILWHIP,1,WATERSPORT,2,TAILWHIP,5,WATERSPORT,7,WATERGUN,10,DEFENSECURL,10,ROLLOUT,13,BUBBLEBEAM,16,HELPINGHAND,21,AQUATAIL,25,DOUBLEEDGE,31,AQUARING,35,RAINDANCE,42,SUPERPOWER,46,HYDROPUMP;WATER;;70;
SUDOWOODO;;18;CURSE,DEFENSECURL,ENDURE,HARDEN,HEADBUTT,ROLLOUT,SANDTOMB,SELFDESTRUCT,STEALTHROCK;185;Sudowoodo;Medium;65;RATTLED;0,0,2,0,0,0;0,107;;Mineral;Imitation;0;5355;0;;0.5;;It mimics a tree to avoid being attacked by enemies. But since its forelegs remain green throughout the year, it is easily identified as a fake in the winter.;144;;STURDY,ROCKHEAD;Forest;38.0;Brown;70,100,115,30,30,65;1.2;12;1,WOODHAMMER,1,COPYCAT,1,FLAIL,1,LOWKICK,1,ROCKTHROW,5,FLAIL,8,LOWKICK,12,ROCKTHROW,15,MIMIC,15,SLAM,19,FEINTATTACK,22,ROCKTOMB,26,BLOCK,29,ROCKSLIDE,33,COUNTER,36,SUCKERPUNCH,40,DOUBLEEDGE,43,STONEEDGE,47,HAMMERARM;ROCK;;70;
POLITOED;;16;;186;Politoed;Parabolic;45;DRIZZLE;0,0,0,0,0,3;0,75;KINGSROCK;Water1;Frog;0;5355;0;;0.5;;The curled hair on its head proves its status as a king. It is said that the longer and curlier the hair, the more respect it earns from its peers.;225;;WATERABSORB,DAMP;WatersEdge;33.9;Green;90,75,75,70,90,100;1.1;12;1,BUBBLEBEAM,1,HYPNOSIS,1,DOUBLESLAP,1,PERISHSONG,27,SWAGGER,37,BOUNCE,48,HYPERVOICE;WATER;;70;
HOPPIP;;22;AMNESIA,AROMATHERAPY,CONFUSION,COTTONGUARD,DOUBLEEDGE,ENCORE,ENDURE,HELPINGHAND,SEEDBOMB,WORRYSEED;187;Hoppip;Parabolic;255;INFILTRATOR;0,0,0,0,0,1;0,67;;Fairy,Grass;Cottonweed;13;5355;0;;0.5;SKIPLOOM,Level,18;This Pokemon drifts and floats with the wind. If it senses the approach of strong winds, a Hoppip links leaves with others to prepare against being blown away.;50;;CHLOROPHYLL,LEAFGUARD;Grassland;0.5;Pink;35,35,40,50,35,55;0.4;6;1,SPLASH,4,SYNTHESIS,7,TAILWHIP,10,TACKLE,12,POISONPOWDER,14,STUNSPORE,16,SLEEPPOWDER,19,BULLETSEED,22,LEECHSEED,25,MEGADRAIN,28,ACROBATICS,31,RAGEPOWDER,34,COTTONSPORE,37,UTURN,40,WORRYSEED,43,GIGADRAIN,46,BOUNCE,49,MEMENTO;GRASS;;70;FLYING
SKIPLOOM;;28;;188;Skiploom;Parabolic;120;INFILTRATOR;0,0,0,2,0,0;0,68;;Fairy,Grass;Cottonweed;15;5355;0;;0.5;JUMPLUFF,Level,27;It blossoms when the temperature rises above 64 degrees F. Because its flower's blooming changes with the temperature, it is sometimes used as a thermometer.;119;;CHLOROPHYLL,LEAFGUARD;Grassland;1.0;Green;55,45,50,80,45,65;0.6;6;1,SPLASH,1,SYNTHESIS,1,TAILWHIP,1,TACKLE,4,SYNTHESIS,7,TAILWHIP,10,TACKLE,12,POISONPOWDER,14,STUNSPORE,16,SLEEPPOWDER,20,BULLETSEED,24,LEECHSEED,28,MEGADRAIN,32,ACROBATICS,36,RAGEPOWDER,40,COTTONSPORE,44,UTURN,48,WORRYSEED,52,GIGADRAIN,56,BOUNCE,60,MEMENTO;GRASS;;70;FLYING
JUMPLUFF;;17;;189;Jumpluff;Parabolic;45;INFILTRATOR;0,0,0,3,0,0;0,69;;Fairy,Grass;Cottonweed;15;5355;0;;0.5;;Jumpluff ride warm southern winds to cross the sea and fly to foreign lands. This Pokemon lands when it encounters cold air while it is floating.;203;;CHLOROPHYLL,LEAFGUARD;Grassland;3.0;Blue;75,55,70,110,55,85;0.8;6;1,SPLASH,1,SYNTHESIS,1,TAILWHIP,1,TACKLE,4,SYNTHESIS,7,TAILWHIP,10,TACKLE,12,POISONPOWDER,14,STUNSPORE,16,SLEEPPOWDER,20,BULLETSEED,24,LEECHSEED,29,MEGADRAIN,34,ACROBATICS,39,RAGEPOWDER,44,COTTONSPORE,49,UTURN,54,WORRYSEED,59,GIGADRAIN,64,BOUNCE,69,MEMENTO;GRASS;;70;FLYING
AIPOM;;16;AGILITY,BEATUP,BOUNCE,COUNTER,COVET,DOUBLESLAP,FAKEOUT,PURSUIT,REVENGE,SCREECH,SLAM,SPITE,SWITCHEROO;190;Aipom;Fast;45;SKILLLINK;0,0,0,1,0,0;0,123;;Field;Long Tail;0;5355;0;;0.5;AMBIPOM,HasMove,DOUBLEHIT;Its tail ends with a dexterous, handlike appendage. However, because it uses the tail so much, Aipom's real hands have become rather clumsy.;72;;RUNAWAY,PICKUP;Forest;11.5;Purple;55,70,55,85,40,55;0.8;6;1,SCRATCH,1,TAILWHIP,4,SANDATTACK,8,ASTONISH,11,BATONPASS,15,TICKLE,18,FURYSWIPES,22,SWIFT,25,SCREECH,29,AGILITY,32,DOUBLEHIT,36,FLING,39,NASTYPLOT,43,LASTRESORT;NORMAL;;70;
SUNKERN;;26;BIDE,CURSE,ENCORE,ENDURE,GRASSWHISTLE,HELPINGHAND,INGRAIN,LEECHSEED,MORNINGSUN,NATURALGIFT,NATUREPOWER,SWEETSCENT;191;Sunkern;Parabolic;235;EARLYBIRD;0,0,0,0,1,0;0,103;COBABERRY;Grass;Seed;0;5355;0;;0.5;SUNFLORA,Item,SUNSTONE;Sunkern try to minimize movement to conserve the nutrients they have stored in their bodies for evolution. They will not eat, subsisting only on morning dew.;36;;CHLOROPHYLL,SOLARPOWER;Grassland;1.8;Yellow;30,30,30,30,30,30;0.3;1;1,ABSORB,1,GROWTH,4,INGRAIN,7,GRASSWHISTLE,10,MEGADRAIN,13,LEECHSEED,16,RAZORLEAF,19,WORRYSEED,22,GIGADRAIN,25,ENDEAVOR,28,SYNTHESIS,31,NATURALGIFT,34,SOLARBEAM,37,DOUBLEEDGE,40,SUNNYDAY,43,SEEDBOMB;GRASS;;70;
SUNFLORA;;18;;192;Sunflora;Parabolic;120;EARLYBIRD;0,0,0,0,2,0;0,104;;Grass;Sun;0;5355;0;;0.5;;Sunflora convert solar energy into nutrition. They are highly active in the warm daytime but suddenly stop moving as soon as the sun sets.;149;;CHLOROPHYLL,SOLARPOWER;Grassland;8.5;Yellow;75,75,55,30,105,85;0.8;12;1,ABSORB,1,POUND,1,GROWTH,4,INGRAIN,7,GRASSWHISTLE,10,MEGADRAIN,13,LEECHSEED,16,RAZORLEAF,19,WORRYSEED,22,GIGADRAIN,25,BULLETSEED,28,PETALDANCE,31,NATURALGIFT,34,SOLARBEAM,37,DOUBLEEDGE,40,SUNNYDAY,43,LEAFSTORM;GRASS;;70;
YANMA;;23;DOUBLEEDGE,FEINTATTACK,FEINT,LEECHLIFE,PURSUIT,REVERSAL,SECRETPOWER,SIGNALBEAM,SILVERWIND,WHIRLWIND;193;Yanma;Medium;75;FRISK;0,0,0,1,0,0;0,101;WIDELENS;Bug;Clear Wing;13;5355;0;;0.5;YANMEGA,HasMove,ANCIENTPOWER;It can see 360 degrees without moving its eyes. It is a great flier capable of making sudden stops and turning midair to quickly chase down targeted prey.;78;;SPEEDBOOST,COMPOUNDEYES;Forest;38.0;Red;65,65,45,95,75,45;1.2;13;1,TACKLE,1,FORESIGHT,6,QUICKATTACK,11,DOUBLETEAM,14,SONICBOOM,17,DETECT,22,SUPERSONIC,27,UPROAR,30,PURSUIT,33,ANCIENTPOWER,38,HYPNOSIS,43,WINGATTACK,46,SCREECH,49,UTURN,54,AIRSLASH,57,BUGBUZZ;BUG;;70;FLYING
WOOPER;;27;ACIDSPRAY,AFTERYOU,ANCIENTPOWER,BODYSLAM,COUNTER,CURSE,DOUBLEKICK,ENCORE,MUDSPORT,RECOVER,SLEEPTALK,SPITUP,STOCKPILE,SWALLOW;194;Wooper;Medium;255;UNAWARE;1,0,0,0,0,0;0,56;;Water1,Field;Water Fish;0;5355;0;;0.5;QUAGSIRE,Level,20;Wooper usually live in water but come out onto land seeking food occasionally. On land, they coat their bodies with a gooey, toxic film.;42;;DAMP,WATERABSORB;WatersEdge;8.5;Blue;55,45,45,15,25,25;0.4;7;1,WATERGUN,1,TAILWHIP,5,MUDSPORT,9,MUDSHOT,15,SLAM,19,MUDBOMB,23,AMNESIA,29,YAWN,33,EARTHQUAKE,37,RAINDANCE,43,MIST,43,HAZE,47,MUDDYWATER;WATER;;70;GROUND
QUAGSIRE;;18;;195;Quagsire;Medium;90;UNAWARE;2,0,0,0,0,0;0,57;;Water1,Field;Water Fish;0;5355;0;;0.5;;A Quagsire hunts by leaving its mouth wide open in water and waiting for its prey to blunder in. Because it doesn't move, it does not get very hungry.;151;;DAMP,WATERABSORB;WatersEdge;75.0;Blue;95,85,85,35,65,65;1.4;6;1,WATERGUN,1,TAILWHIP,1,MUDSPORT,5,MUDSPORT,9,MUDSHOT,15,SLAM,19,MUDBOMB,24,AMNESIA,31,YAWN,36,EARTHQUAKE,41,RAINDANCE,48,MIST,48,HAZE,53,MUDDYWATER;WATER;;70;GROUND
ESPEON;;17;;196;Espeon;Medium;45;MAGICBOUNCE;0,0,0,0,2,0;0,188;;Field;Sun;0;9180;0;;0.125;;An Espeon is extremely loyal to any trainer it considers to be worthy. It is said to have developed precognitive powers to protect its trainer from harm.;184;;SYNCHRONIZE;Urban;26.5;Purple;65,65,60,110,130,95;0.9;8;1,HELPINGHAND,1,TACKLE,1,TAILWHIP,5,SANDATTACK,9,CONFUSION,13,QUICKATTACK,17,SWIFT,21,PSYBEAM,25,FUTURESIGHT,29,PSYCHUP,33,MORNINGSUN,37,PSYCHIC,41,LASTRESORT,45,POWERSWAP;PSYCHIC;;70;
UMBREON;;19;;197;Umbreon;Medium;45;INNERFOCUS;0,0,0,0,0,2;0,189;;Field;Moonlight;0;9180;0;;0.125;;Umbreon evolved from exposure to the moon's energy pulses. It lurks in darkness and waits for its foes to move. The rings on its body glow when it leaps to attack.;184;;SYNCHRONIZE;Urban;27.0;Black;95,65,110,65,60,130;1.0;8;1,HELPINGHAND,1,TACKLE,1,TAILWHIP,5,SANDATTACK,9,PURSUIT,13,QUICKATTACK,17,CONFUSERAY,21,FEINTATTACK,25,ASSURANCE,29,SCREECH,33,MOONLIGHT,37,MEANLOOK,41,LASTRESORT,45,GUARDSWAP;DARK;;35;
