InternalName;ID;InternalName;Name;Category;Price;Description;Uknown1;Uknown2;Uknown3;Move
ADAMANTORB;195;Adamant Orb;Adamant Orbs;1;10000;A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves.;0;0;0;
LUSTROUSORB;196;Lustrous Orb;Lustrous Orbs;1;10000;A beautifully glowing orb to be held by Palkia. It boosts the power of Dragon- and Water-type moves.;0;0;0;
GRISEOUSORB;197;Griseous Orb;Griseous Orbs;1;10000;A glowing orb to be held by Giratina. It boosts the power of Dragon- and Ghost-type moves.;0;0;0;
DOUSEDRIVE;198;Douse Drive;Douse Drives;1;1000;A cassette to be held by Genesect. It changes Techno Blast to a Water-type move.;0;0;0;
SHOCKDRIVE;199;Shock Drive;Shock Drives;1;1000;A cassette to be held by Genesect. It changes Techno Blast to an Electric-type move.;0;0;0;
BURNDRIVE;200;Burn Drive;Burn Drives;1;1000;A cassette to be held by Genesect. It changes Techno Blast to a Fire-type move.;0;0;0;
CHILLDRIVE;201;Chill Drive;Chill Drives;1;1000;A cassette to be held by Genesect. It changes Techno Blast to an Ice-type move.;0;0;0;
EVERSTONE;202;Everstone;Everstones;1;200;An item to be held by a Pokémon. The Pokémon holding this peculiar stone is prevented from evolving.;0;0;0;
DRAGONSCALE;203;Dragon Scale;Dragon Scales;1;2100;A thick and tough scale. Dragon-type Pokémon may be holding this item when caught.;0;0;0;
UPGRADE;204;Up-Grade;Up-Grades;1;2100;A transparent device filled with all sorts of data. It was produced by Silph Co.;0;0;0;
DUBIOUSDISC;205;Dubious Disc;Dubious Discs;1;2100;A transparent device overflowing with dubious data.  Its producer is unknown.;0;0;0;
PROTECTOR;206;Protector;Protectors;1;2100;A protective item of some sort. It is extremely stiff and heavy. It is loved by a certain Pokémon.;0;0;0;
ELECTIRIZER;207;Electirizer;Electirizers;1;2100;A box packed with a tremendous amount of electric energy. It is loved by a certain Pokémon.;0;0;0;
MAGMARIZER;208;Magmarizer;Magmarizers;1;2100;A box packed with a tremendous amount of magma energy. It is loved by a certain Pokémon.;0;0;0;
REAPERCLOTH;209;Reaper Cloth;Reaper Cloths;1;2100;A cloth imbued with horrifyingly strong spiritual energy. It is loved by a certain Pokémon.;0;0;0;
PRISMSCALE;210;Prism Scale;Prism Scales;1;500;A mysterious scale that evolves certain Pokémon. It shines in rainbow colors.;0;0;0;
OVALSTONE;211;Oval Stone;Oval Stones;1;2100;A peculiar stone that makes certain species of Pokémon evolve. It is shaped like an egg.;0;0;0;
REDSCARF;212;Red Scarf;Red Scarves;1;100;An item to be held by a Pokémon. It boosts the Cool aspect of the holder in a Contest.;0;0;0;
BLUESCARF;213;Blue Scarf;Blue Scarves;1;100;An item to be held by a Pokémon. It boosts the Beauty aspect of the holder in a Contest.;0;0;0;
PINKSCARF;214;Pink Scarf;Pink Scarves;1;100;An item to be held by a Pokémon. It boosts the Cute aspect of the holder in a Contest.;0;0;0;
GREENSCARF;215;Green Scarf;Green Scarves;1;100;An item to be held by a Pokémon. It boosts the Smart aspect of the holder in a Contest.;0;0;0;
YELLOWSCARF;216;Yellow Scarf;Yellow Scarves;1;100;An item to be held by a Pokémon. It boosts the Tough aspect of the holder in a Contest.;0;0;0;
POTION;217;Potion;Potions;2;300;A spray-type medicine for wounds. It restores the HP of one Pokémon by just 20 points.;1;1;0;
SUPERPOTION;218;Super Potion;Super Potions;2;700;A spray-type medicine for wounds. It restores the HP of one Pokémon by 50 points.;1;1;0;
HYPERPOTION;219;Hyper Potion;Hyper Potions;2;1200;A spray-type medicine for wounds. It restores the HP of one Pokémon by 200 points.;1;1;0;
MAXPOTION;220;Max Potion;Max Potions;2;2500;A spray-type medicine for wounds. It completely restores the HP of a single Pokémon.;1;1;0;
FULLRESTORE;221;Full Restore;Full Restores;2;3000;A medicine that fully restores the HP and heals any status problems of a single Pokémon.;1;1;0;
SACREDASH;222;Sacred Ash;Sacred Ashes;2;200;It revives all fainted Pokémon. In doing so, it also fully restores their HP.;2;0;0;
AWAKENING;223;Awakening;Awakenings;2;250;A spray-type medicine. It awakens a Pokémon from the clutches of sleep.;1;1;0;
ANTIDOTE;224;Antidote;Antidotes;2;100;A spray-type medicine. It lifts the effect of poison from one Pokémon.;1;1;0;
BURNHEAL;225;Burn Heal;Burn Heals;2;250;A spray-type medicine. It heals a single Pokémon that is suffering from a burn.;1;1;0;
PARALYZEHEAL;226;Paralyze Heal;Paralyze Heals;2;200;A spray-type medicine. It eliminates paralysis from a single Pokémon.;1;1;0;
ICEHEAL;227;Ice Heal;Ice Heals;2;250;A spray-type medicine. It defrosts a Pokémon that has been frozen solid.;1;1;0;
FULLHEAL;228;Full Heal;Full Heals;2;600;A spray-type medicine. It heals all the status problems of a single Pokémon.;1;1;0;
LAVACOOKIE;229;Lava Cookie;Lava Cookies;2;200;Lavaridge Town's local specialty. It heals all the status problems of one Pokémon.;1;1;0;
OLDGATEAU;230;Old Gateau;Old Gateaux;2;200;Old Chateau's hidden specialty. It heals all the status problems of a single Pokémon.;1;1;0;
CASTELIACONE;231;Casteliacone;Casteliacones;2;100;Castelia City's specialty, soft-serve ice cream. It heals all the status problems of a single Pokémon.;1;1;0;
REVIVE;232;Revive;Revives;2;1500;A medicine that revives a fainted Pokémon. It restores half the Pokémon's maximum HP.;1;1;0;
MAXREVIVE;233;Max Revive;Max Revives;2;4000;A medicine that revives a fainted Pokémon. It fully restores the Pokémon's HP.;1;1;0;
BERRYJUICE;234;Berry Juice;Berry Juices;2;100;A 100% pure juice made of Berries. It restores the HP of one Pokémon by just 20 points.;1;1;0;
RAGECANDYBAR;235;Rage Candy Bar;Rage Candy Bars;2;400;A famous Mahogany Town candy that tourists like to buy. It restores the HP of one Pokémon by 20 points.;1;1;0;
SWEETHEART;236;Sweet Heart;Sweet Hearts;2;100;Very sweet chocolate. It restores the HP of one Pokémon by only 20 points.;1;1;0;
FRESHWATER;237;Fresh Water;Fresh Waters;2;200;Water with a high mineral content. It restores the HP of one Pokémon by 50 points.;1;1;0;
SODAPOP;238;Soda Pop;Soda Pops;2;300;A fizzy soda drink. It restores the HP of one Pokémon by 60 points.;1;1;0;
LEMONADE;239;Lemonade;Lemonades;2;350;A very sweet drink. It restores the HP of one Pokémon by 80 points.;1;1;0;
MOOMOOMILK;240;Moomoo Milk;Moomoo Milks;2;500;Milk with a very high nutrition content. It restores the HP of one Pokémon by 100 points.;1;1;0;
ENERGYPOWDER;241;Energy Powder;Energy Powders;2;500;A very bitter medicine powder. It restores the HP of one Pokémon by 50 points.;1;1;0;
ENERGYROOT;242;Energy Root;Energy Roots;2;800;A very bitter root. It restores the HP of one Pokémon by 200 points.;1;1;0;
HEALPOWDER;243;Heal Powder;Heal Powders;2;450;A very bitter medicine powder. It heals all the status problems of a single Pokémon.;1;1;0;
REVIVALHERB;244;Revival Herb;Revival Herbs;2;2800;A very bitter medicinal herb. It revives a fainted Pokémon, fully restoring its HP.;1;1;0;
ETHER;245;Ether;Ethers;2;1200;It restores the PP of a Pokémon's selected move by a maximum of 10 points.;1;1;0;
MAXETHER;246;Max Ether;Max Ethers;2;2000;It fully restores the PP of a single selected move that has been learned by the target Pokémon.;1;1;0;
ELIXIR;247;Elixir;Elixirs;2;3000;It restores the PP of all the moves learned by the targeted Pokémon by 10 points each.;1;1;0;
MAXELIXIR;248;Max Elixir;Max Elixirs;2;4500;It fully restores the PP of all the moves learned by the targeted Pokémon.;1;1;0;
PPUP;249;PP Up;PP Ups;2;9800;It slightly raises the maximum PP of a selected move that has been learned by the target Pokémon.;1;0;0;
PPMAX;250;PP Max;PP Maxes;2;9800;It maximally raises the top PP of a selected move that has been learned by the target Pokémon.;1;0;0;
HPUP;251;HP Up;HP Ups;2;9800;A nutritious drink for Pokémon. It raises the base HP of a single Pokémon.;1;0;0;
PROTEIN;252;Protein;Proteins;2;9800;A nutritious drink for Pokémon. It raises the base Attack stat of a single Pokémon.;1;0;0;
IRON;253;Iron;Irons;2;9800;A nutritious drink for Pokémon. It raises the base Defense stat of a single Pokémon.;1;0;0;
CALCIUM;254;Calcium;Calciums;2;9800;A nutritious drink for Pokémon. It raises the base Sp. Atk (Special Attack) stat of a single Pokémon.;1;0;0;
ZINC;255;Zinc;Zincs;2;9800;A nutritious drink for Pokémon. It raises the base Sp. Def (Special Defense) stat of a single Pokémon.;1;0;0;
CARBOS;256;Carbos;Carbos;2;9800;A nutritious drink for Pokémon. It raises the base Speed stat of a single Pokémon.;1;0;0;
HEALTHWING;257;Health Wing;Health Wings;2;3000;An item for use on a Pokémon. It slightly increases the base HP of a single Pokémon.;1;0;0;
MUSCLEWING;258;Muscle Wing;Muscle Wings;2;3000;An item for use on a Pokémon. It slightly increases the base Attack stat of a single Pokémon.;1;0;0;
RESISTWING;259;Resist Wing;Resist Wings;2;3000;An item for use on a Pokémon. It slightly increases the base Defense stat of a single Pokémon.;1;0;0;
GENIUSWING;260;Genius Wing;Genius Wings;2;3000;An item for use on a Pokémon. It slightly increases the base Sp. Atk stat of a single Pokémon.;1;0;0;
CLEVERWING;261;Clever Wing;Clever Wings;2;3000;An item for use on a Pokémon. It slightly increases the base Sp. Def stat of a single Pokémon.;1;0;0;
SWIFTWING;262;Swift Wing;Swift Wings;2;3000;An item for use on a Pokémon. It slightly increases the base Speed stat of a single Pokémon.;1;0;0;
RARECANDY;263;Rare Candy;Rare Candies;2;4800;A candy that is packed with energy. It raises the level of a single Pokémon by one.;1;0;0;
MASTERBALL;264;Master Ball;Master Balls;3;0;The best Ball with the ultimate level of performance. It will catch any wild Pokémon without fail.;0;2;4;
ULTRABALL;265;Ultra Ball;Ultra Balls;3;1200;An ultra-performance Ball that provides a higher Pokémon catch rate than a Great Ball.;0;2;4;
GREATBALL;266;Great Ball;Great Balls;3;600;A good, high-performance Ball that provides a higher Pokémon catch rate than a standard Poké Ball.;0;2;4;
POKEBALL;267;Poké Ball;Poké Balls;3;200;A device for catching wild Pokémon. It is thrown like a ball at the target. It is designed as a capsule system.;0;2;4;
SAFARIBALL;268;Safari Ball;Safari Balls;3;0;A special Poké Ball that is used only in the Safari Zone. It is decorated in a camouflage pattern.;0;2;4;
SPORTBALL;269;Sport Ball;Sport Balls;3;0;A special Poké Ball for the Bug-Catching Contest.;0;2;4;
NETBALL;270;Net Ball;Net Balls;3;1000;A somewhat different Poké Ball that works especially well on Water- and Bug-type Pokémon.;0;2;4;
DIVEBALL;271;Dive Ball;Dive Balls;3;1000;A somewhat different Poké Ball that works especially well on Pokémon that underwater.;0;2;4;
NESTBALL;272;Nest Ball;Nest Balls;3;1000;A somewhat different Poké Ball that works especially well on weaker Pokémon in the wild.;0;2;4;
REPEATBALL;273;Repeat Ball;Repeat Balls;3;1000;A somewhat different Poké Ball that works especially well on Pokémon species that were previously caught.;0;2;4;
TIMERBALL;274;Timer Ball;Timer Balls;3;1000;A somewhat different Ball that becomes progressively better the more turns there are in a battle.;0;2;4;
LUXURYBALL;275;Luxury Ball;Luxury Balls;3;1000;A comfortable Poké Ball that makes a caught wild Pokémon quickly grow friendly.;0;2;4;
PREMIERBALL;276;Premier Ball;Premier Balls;3;200;A somewhat rare Poké Ball that has been specially made to commemorate an event of some sort.;0;2;4;
DUSKBALL;277;Dusk Ball;Dusk Balls;3;1000;A somewhat different Poké Ball that makes it easier to catch wild Pokémon at night or in dark places like caves.;0;2;4;
HEALBALL;278;Heal Ball;Heal Balls;3;300;A remedial Poké Ball that restores the caught Pokémon's HP and eliminates any status problem.;0;2;4;
QUICKBALL;279;Quick Ball;Quick Balls;3;1000;A somewhat different Poké Ball that provides a better catch rate if used at the start of a wild encounter.;0;2;4;
CHERISHBALL;280;Cherish Ball;Cherish Balls;3;1000;A quite rare Poké Ball that has been specially crafted to commemorate an occasion of some sort.;0;2;4;
FASTBALL;281;Fast Ball;Fast Balls;3;300;A Poké Ball that makes it easier to catch fast Pokémon.;0;2;4;
LEVELBALL;282;Level Ball;Level Balls;3;300;A Poké Ball for catching Pokémon that are a lower level than your own.;0;2;4;
LUREBALL;283;Lure Ball;Lure Balls;3;300;A Poké Ball for catching Pokémon hooked by a Rod when fishing.;0;2;4;
HEAVYBALL;284;Heavy Ball;Heavy Balls;3;300;A Poké Ball for catching very heavy Pokémon.;0;2;4;
LOVEBALL;285;Love Ball;Love Balls;3;300;A Poké Ball for catching Pokémon that are the opposite gender of your Pokémon.;0;2;4;
FRIENDBALL;286;Friend Ball;Friend Balls;3;300;A Poké Ball that makes caught Pokémon more friendly.;0;2;4;
MOONBALL;287;Moon Ball;Moon Balls;3;300;A Poké Ball for catching Pokémon that evolve using the Moon Stone.;0;2;4;
TM01;288;TM01;TM01s;4;3000;The user sharpens its claws to boost its Attack stat and accuracy.;3;0;0;HONECLAWS
TM02;289;TM02;TM02s;4;3000;The user slashes the target with huge, sharp claws.;3;0;0;DRAGONCLAW
TM03;290;TM03;TM03s;4;3000;The user materializes an odd psychic wave to attack the target. This attack does physical damage.;3;0;0;PSYSHOCK
TM04;291;TM04;TM04s;4;1500;The user quietly focuses its mind and calms its spirit to raise its Sp. Atk and Sp. Def stats.;3;0;0;CALMMIND
TM05;292;TM05;TM05s;4;1000;The target is scared off and replaced by another Pokémon in its party. In the wild, the battle ends.;3;0;0;ROAR
TM06;293;TM06;TM06s;4;3000;A move that leaves the target badly poisoned. Its poison damage worsens every turn.;3;0;0;TOXIC
TM07;294;TM07;TM07s;4;3000;Summons a hailstorm that lasts for five turns. The hailstorm damages all types except Ice.;3;0;0;HAIL
TM08;295;TM08;TM08s;4;1500;The user tenses its muscles to bulk up its body, boosting both its Attack and Defense stats.;3;0;0;BULKUP
TM09;296;TM09;TM09s;4;2000;The user drenches the target in a special poisonous liquid. Its power is doubled if the target is poisoned.;3;0;0;VENOSHOCK
TM10;297;TM10;TM10s;4;2000;A unique attack that varies in type and intensity depending on the Pokémon using it.;3;0;0;HIDDENPOWER
TM11;298;TM11;TM11s;4;2000;The user intensifies the sun for five turns, powering up Fire-type moves.;3;0;0;SUNNYDAY
TM12;299;TM12;TM12s;4;1500;The target is taunted into a rage that allows it to use only attack moves for three turns.;3;0;0;TAUNT
TM13;300;TM13;TM13s;4;3000;The target is struck with an icy-cold beam of energy. It may also freeze the target solid.;3;0;0;ICEBEAM
TM14;301;TM14;TM14s;4;5500;A howling blizzard is summoned to strike the opposing team. It may also freeze them solid.;3;0;0;BLIZZARD
TM15;302;TM15;TM15s;4;7500;The target is attacked with a powerful beam. The user must rest on the next turn to regain its energy.;3;0;0;HYPERBEAM
TM16;303;TM16;TM16s;4;2000;A wondrous wall of light is put up to suppress damage from special attacks for five turns.;3;0;0;LIGHTSCREEN
TM17;304;TM17;TM17s;4;2000;It enables the user to evade all attacks. Its chance of failing rises if it is used in succession.;3;0;0;PROTECT
TM18;305;TM18;TM18s;4;2000;The user summons a heavy rain that falls for five turns, powering up Water-type moves.;3;0;0;RAINDANCE
TM19;306;TM19;TM19s;4;3000;The user makes the target float with its psychic power. The target is easier to hit for three turns.;3;0;0;TELEKINESIS
TM20;307;TM20;TM20s;4;2000;The user creates a protective field that prevents status problems for five turns.;3;0;0;SAFEGUARD
TM21;308;TM21;TM21s;4;1000;A full-power attack that grows more powerful the less the user likes its Trainer.;3;0;0;FRUSTRATION
TM22;309;TM22;TM22s;4;3000;A two-turn attack. The user gathers light, then blasts a bundled beam on the second turn.;3;0;0;SOLARBEAM
TM23;310;TM23;TM23s;4;3000;The user throws a stone or similar projectile to attack a foe. A flying Pokémon will fall to the ground if hit.;3;0;0;SMACKDOWN
TM24;311;TM24;TM24s;4;3000;A strong electric blast is loosed at the target. It may also leave the target with paralysis.;3;0;0;THUNDERBOLT
TM25;312;TM25;TM25s;4;5500;A wicked thunderbolt is dropped on the target to inflict damage. It may also leave the target with paralysis.;3;0;0;THUNDER
TM26;313;TM26;TM26s;4;3000;The user sets off an earthquake that strikes every Pokémon around it.;3;0;0;EARTHQUAKE
TM27;314;TM27;TM27s;4;1000;A full-power attack that grows more powerful the more the user likes its Trainer.;3;0;0;RETURN
TM28;315;TM28;TM28s;4;2000;The user burrows, then attacks on the second turn. It can also be used to exit dungeons.;3;0;0;DIG
TM29;316;TM29;TM29s;4;3000;The target is hit by a strong telekinetic force. It may also reduce the target's Sp. Def stat.;3;0;0;PSYCHIC
TM30;317;TM30;TM30s;4;3000;The user hurls a shadowy blob at the target. It may also lower the target's Sp. Def stat.;3;0;0;SHADOWBALL
TM31;318;TM31;TM31s;4;3000;The user attacks with tough fists, etc. It can also break any barrier such as Light Screen and Reflect.;3;0;0;BRICKBREAK
TM32;319;TM32;TM32s;4;1000;By moving rapidly, the user makes illusory copies of itself to raise its evasiveness.;3;0;0;DOUBLETEAM
TM33;320;TM33;TM33s;4;2000;A wondrous wall of light is put up to suppress damage from physical attacks for five turns.;3;0;0;REFLECT
TM34;321;TM34;TM34s;4;3000;It swamps the area around the user with a giant sludge wave. It may also poison those hit.;3;0;0;SLUDGEWAVE
TM35;322;TM35;TM35s;4;3000;The target is scorched with an intense blast of fire. It may also leave the target with a burn.;3;0;0;FLAMETHROWER
TM36;323;TM36;TM36s;4;3000;Unsanitary sludge is hurled at the target. It may also poison the target.;3;0;0;SLUDGEBOMB
TM37;324;TM37;TM37s;4;2000;A five-turn sandstorm is summoned to hurt all combatants except the Rock, Ground, and Steel types.;3;0;0;SANDSTORM
TM38;325;TM38;TM38s;4;5500;The foe is attacked with an intense blast of all-consuming fire. It may also leave the target with a burn.;3;0;0;FIREBLAST
TM39;326;TM39;TM39s;4;2000;Boulders are hurled at the target. It also lowers the target's Speed by preventing its movement.;3;0;0;ROCKTOMB
TM40;327;TM40;TM40s;4;3000;The user confounds the target with speed, then slashes. The attack lands without fail.;3;0;0;AERIALACE
TM41;328;TM41;TM41s;4;1500;The user torments and enrages the target, making it incapable of using the same move twice in a row.;3;0;0;TORMENT
TM42;329;TM42;TM42s;4;3000;An attack move that doubles its power if the user is poisoned, paralyzed, or has a burn.;3;0;0;FACADE
TM43;330;TM43;TM43s;4;2000;The user cloaks itself with flame and attacks. Building up more power, it raises the user's Speed stat.;3;0;0;FLAMECHARGE
TM44;331;TM44;TM44s;4;3000;The user goes to sleep for two turns. It fully restores the user's HP and heals any status problem.;3;0;0;REST
TM45;332;TM45;TM45s;4;3000;If it is the opposite gender of the user, the target becomes infatuated and less likely to attack.;3;0;0;ATTRACT
TM46;333;TM46;TM46s;4;2000;The user attacks and steals the target's held item simultaneously. It can't steal if the user holds an item.;3;0;0;THIEF
TM47;334;TM47;TM47s;4;3000;The user attacks the target's legs swiftly, reducing the target's Speed stat.;3;0;0;LOWSWEEP
TM48;335;TM48;TM48s;4;3000;The user attacks the target with a song. Others can join in the Round to increase the power of the attack.;3;0;0;ROUND
TM49;336;TM49;TM49s;4;1500;The user attacks the target with an echoing voice. If this move is used every turn, it does greater damage.;3;0;0;ECHOEDVOICE
TM50;337;TM50;TM50s;4;5500;The user attacks the target at full power. The attack's recoil sharply reduces the user's Sp. Atk stat.;3;0;0;OVERHEAT
TM51;338;TM51;TM51s;4;1000;The user teleports using a strange power and switches its place with one of its allies.;3;0;0;ALLYSWITCH
TM52;339;TM52;TM52s;4;5500;The user heightens its mental focus and unleashes its power. It may also lower the target's Sp. Def.;3;0;0;FOCUSBLAST
TM53;340;TM53;TM53s;4;3000;The user draws power from nature and fires it at the target. It may also lower the target's Sp. Def.;3;0;0;ENERGYBALL
TM54;341;TM54;TM54s;4;2000;A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.;3;0;0;FALSESWIPE
TM55;342;TM55;TM55s;4;3000;The user shoots boiling hot water at its target. It may also leave the target with a burn.;3;0;0;SCALD
TM56;343;TM56;TM56s;4;2000;The user flings its held item at the target as an attack. Its power and effects depend on the item.;3;0;0;FLING
TM57;344;TM57;TM57s;4;3000;The user fires a concentrated bundle of electricity. It may also raise the user's Sp. Atk stat.;3;0;0;CHARGEBEAM
TM58;345;TM58;TM58s;4;2000;The user hurls the foe into the sky, then drops it on the next turn. The foe cannot attack while in the sky.;3;0;0;SKYDROP
TM59;346;TM59;TM59s;4;1500;The user attacks the target with fire. If the target is holding a Berry, it becomes burnt up and unusable.;3;0;0;INCINERATE
TM60;347;TM60;TM60s;4;3000;The user suppresses the target and makes its move go last.;3;0;0;QUASH
TM61;348;TM61;TM61s;4;2000;The user shoots a sinister, bluish-white flame at the target to inflict a burn.;3;0;0;WILLOWISP
TM62;349;TM62;TM62s;4;3000;The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage.;3;0;0;ACROBATICS
TM63;350;TM63;TM63s;4;2000;It prevents the target from using its held item. Its Trainer is also prevented from using items on it.;3;0;0;EMBARGO
TM64;351;TM64;TM64s;4;7500;The user explodes to inflict damage on those around it. The user faints upon using this move.;3;0;0;EXPLOSION
TM65;352;TM65;TM65s;4;3000;The user slashes with a sharp claw made from shadows. It has a high critical-hit ratio.;3;0;0;SHADOWCLAW
TM66;353;TM66;TM66s;4;3000;The user stores power, then attacks. If the user can use this attack after the foe, its power is doubled.;3;0;0;PAYBACK
TM67;354;TM67;TM67s;4;1000;The user gets revenge for a fainted ally. If an ally fainted in the last turn, this move's power is increased.;3;0;0;RETALIATE
TM68;355;TM68;TM68s;4;7500;The user charges at the target using every bit of its power. The user must rest on the next turn.;3;0;0;GIGAIMPACT
TM69;356;TM69;TM69s;4;1500;The user polishes its body to reduce drag. It sharply raises the Speed stat.;3;0;0;ROCKPOLISH
TM70;357;TM70;TM70s;4;1000;The user flashes a bright light that cuts the target's accuracy. It can also be used to illuminate caves.;3;0;0;FLASH
TM71;358;TM71;TM71s;4;3000;The user stabs the foe with sharpened stones from below. It has a high critical-hit ratio.;3;0;0;STONEEDGE
TM72;359;TM72;TM72s;4;3000;After making its attack, the user rushes back to switch places with a party Pokémon in waiting.;3;0;0;VOLTSWITCH
TM73;360;TM73;TM73s;4;2000;A weak electric charge is launched at the target. It causes paralysis if it hits.;3;0;0;THUNDERWAVE
TM74;361;TM74;TM74s;4;3000;The user tackles the target with a high-speed spin. The slower the user, the greater the damage.;3;0;0;GYROBALL
TM75;362;TM75;TM75s;4;1500;A frenetic dance to uplift the fighting spirit. It sharply raises the user's Attack stat.;3;0;0;SWORDSDANCE
TM76;363;TM76;TM76s;4;2000;Resisting, the user attacks the opposing Pokémon. The targets' Sp. Atk stat is reduced.;3;0;0;STRUGGLEBUG
TM77;364;TM77;TM77s;4;1500;The user hypnotizes itself into copying any stat change made by the target.;3;0;0;PSYCHUP
TM78;365;TM78;TM78s;4;1500;The user stomps down on the ground and attacks everything in the area. The targets' Speed stat is reduced.;3;0;0;BULLDOZE
TM79;366;TM79;TM79s;4;3000;The user blows a cold breath on the target. This attack always results in a critical hit.;3;0;0;FROSTBREATH
TM80;367;TM80;TM80s;4;3000;Large boulders are hurled at the opposing team to inflict damage. They may also make the targets flinch.;3;0;0;ROCKSLIDE
TM81;368;TM81;TM81s;4;3000;The user slashes at the target by crossing its scythes or claws as if they were a pair of scissors.;3;0;0;XSCISSOR
TM82;369;TM82;TM82s;4;1000;The user knocks away the target and drags out another Pokémon in its party. In the wild, the battle ends.;3;0;0;DRAGONTAIL
TM83;370;TM83;TM83s;4;2000;The user is roused, and its Attack and Sp. Atk stats increase.;3;0;0;WORKUP
TM84;371;TM84;TM84s;4;3000;The target is stabbed with a tentacle or arm steeped in poison. It may also poison the target.;3;0;0;POISONJAB
TM85;372;TM85;TM85s;4;3000;The user eats the dreams of a sleeping target. It absorbs half the damage caused to heal the user's HP.;3;0;0;DREAMEATER
TM86;373;TM86;TM86s;4;3000;The user snares the target with grass and trips it. The heavier the target, the greater the damage.;3;0;0;GRASSKNOT
TM87;374;TM87;TM87s;4;1500;The user enrages and confuses the target. However, it also sharply raises the target's Attack stat.;3;0;0;SWAGGER
TM88;375;TM88;TM88s;4;3000;The user pecks the target. If the target is holding a Berry, the user plucks it and gains its effect.;3;0;0;PLUCK
TM89;376;TM89;TM89s;4;3000;After making its attack, the user rushes back to switch places with a party Pokémon in waiting.;3;0;0;UTURN
TM90;377;TM90;TM90s;4;2000;The user makes a copy of itself using some of its HP. The copy serves as the user's decoy.;3;0;0;SUBSTITUTE
TM91;378;TM91;TM91s;4;3000;The user gathers all its light energy and releases it at once. It may also lower the target's Sp. Def stat.;3;0;0;FLASHCANNON
TM92;379;TM92;TM92s;4;5500;The user creates a bizarre space in which slower Pokémon get to move first for five turns.;3;0;0;TRICKROOM
TM93;380;TM93;TM93s;4;3000;The user shrouds itself in electricity and smashes into its target. It also damages the user a little.;3;0;0;WILDCHARGE
TM94;381;TM94;TM94s;4;1000;The user attacks with a punch that can shatter a rock. It may also lower the target's Defense stat.;3;0;0;ROCKSMASH
TM95;382;TM95;TM95s;4;3000;The user yells as if it is ranting about something, making the target's Sp. Atk stat decrease.;3;0;0;SNARL
HM01;383;HM01;HM01s;4;0;The target is cut with a scythe or claw. It can also be used to cut down thin trees.;4;0;0;CUT
HM02;384;HM02;HM02s;4;0;The user soars, then strikes on the second turn. It can also be used to fly to any familiar town.;4;0;0;FLY
HM03;385;HM03;HM03s;4;0;It swamps the area around the user with a giant wave. It can also be used for crossing water.;4;0;0;SURF
HM04;386;HM04;HM04s;4;0;The target is slugged with a punch thrown at maximum power. This move can also be used to move boulders.;4;0;0;STRENGTH
HM05;387;HM05;HM05s;4;0;The user charges the target at an awesome speed. It can also be used to climb a waterfall.;4;0;0;WATERFALL
HM06;388;HM06;HM06s;4;0;The user dives on the first turn, and floats up and attacks on the second. It can be used to dive in the ocean.;4;0;0;DIVE
CHERIBERRY;389;Cheri Berry;Cheri Berries;5;20;It may be used or held by a Pokémon to recover from paralysis.;1;1;5;
CHESTOBERRY;390;Chesto Berry;Chesto Berries;5;20;It may be used or held by a Pokémon to recover from sleep.;1;1;5;
PECHABERRY;391;Pecha Berry;Pecha Berries;5;20;It may be used or held by a Pokémon to recover from poison.;1;1;5;
RAWSTBERRY;392;Rawst Berry;Rawst Berries;5;20;It may be used or held by a Pokémon to recover from a burn.;1;1;5;
ASPEARBERRY;393;Aspear Berry;Aspear Berries;5;20;It may be used or held by a Pokémon to defrost it.;1;1;5;
LEPPABERRY;394;Leppa Berry;Leppa Berries;5;20;It may be used or held by a Pokémon to restore a move's PP by 10.;1;1;5;
ORANBERRY;395;Oran Berry;Oran Berries;5;20;It may be used or held by a Pokémon to heal the user by just 10 HP.;1;1;5;
PERSIMBERRY;396;Persim Berry;Persim Berries;5;20;It may be used or held by a Pokémon to recover from confusion.;0;1;5;
LUMBERRY;397;Lum Berry;Lum Berries;5;20;It may be used or held by a Pokémon to recover from any status problem.;1;1;5;
SITRUSBERRY;398;Sitrus Berry;Sitrus Berries;5;20;It may be used or held by a Pokémon to heal the user's HP a little.;1;1;5;
FIGYBERRY;399;Figy Berry;Figy Berries;5;20;If held by a Pokémon, it restores the user's HP in a pinch, but will cause confusion if it hates the taste.;0;0;5;
WIKIBERRY;400;Wiki Berry;Wiki Berries;5;20;If held by a Pokémon, it restores the user's HP in a pinch, but will cause confusion if it hates the taste.;0;0;5;
MAGOBERRY;401;Mago Berry;Mago Berries;5;20;If held by a Pokémon, it restores the user's HP in a pinch, but will cause confusion if it hates the taste.;0;0;5;
AGUAVBERRY;402;Aguav Berry;Aguav Berries;5;20;If held by a Pokémon, it restores the user's HP in a pinch, but will cause confusion if it hates the taste.;0;0;5;
IAPAPABERRY;403;Iapapa Berry;Iapapa Berries;5;20;If held by a Pokémon, it restores the user's HP in a pinch, but will cause confusion if it hates the taste.;0;0;5;
RAZZBERRY;404;Razz Berry;Razz Berries;5;20;In the Sinnoh region, they like to make sweets known as Poffins with this Berry.;0;0;5;
